total_number,cyto_number,nuclei_number,ratio,gene
51,51,0,1.0,BAC45727
67,67,0,1.0,BAC46169
60,59,1,0.9833333333333333,BAC47034
28,27,1,0.9642857142857143,BAC47856
50,49,1,0.98,BAC48395
25,25,0,1.0,BAC51072
30,29,1,0.9666666666666667,BAC51722
22,22,0,1.0,BAC52602
167,165,2,0.9880239520958084,BAC52793
139,139,0,1.0,BAC52805
2383,2103,280,0.8825010490977759,CYP93A1
260,257,3,0.9884615384615385,G4DT
2506,1946,560,0.776536312849162,GLYMA_01G019200
128,116,12,0.90625,GLYMA_01G156200
54,52,2,0.9629629629629629,GLYMA_01G164600
25,23,2,0.92,GLYMA_01G187400
894,685,209,0.7662192393736018,GLYMA_02G003700
97,97,0,1.0,GLYMA_02G149100
20,20,0,1.0,GLYMA_02G201100
2418,2301,117,0.9516129032258065,GLYMA_03G029900
718,630,88,0.8774373259052924,GLYMA_03G079500
53,53,0,1.0,GLYMA_04G010600
489,452,37,0.9243353783231084,GLYMA_04G063800
48,44,4,0.9166666666666666,GLYMA_04G208400
157,154,3,0.9808917197452229,GLYMA_04G227200
942,751,191,0.79723991507431,GLYMA_05G023700
42433,41098,1335,0.9685386373812834,GLYMA_05G092200
199,184,15,0.9246231155778895,GLYMA_05G203100
28508,27301,1207,0.9576610074365091,GLYMA_05G216000
268,222,46,0.8283582089552238,GLYMA_06G002000
519,506,13,0.9749518304431599,GLYMA_06G065000
180,163,17,0.9055555555555556,GLYMA_06G090100
15572,15111,461,0.9703955818135114,GLYMA_06G168300
614,583,31,0.9495114006514658,GLYMA_06G235500
112,71,41,0.6339285714285714,GLYMA_06G256000
170,99,71,0.5823529411764706,GLYMA_06G259400
62,50,12,0.8064516129032258,GLYMA_06G294200
23,23,0,1.0,GLYMA_06G318000
94,71,23,0.7553191489361702,GLYMA_07G006500
45,45,0,1.0,GLYMA_07G130800
98,97,1,0.9897959183673469,GLYMA_07G231500
546,504,42,0.9230769230769231,GLYMA_08G011100
6,0,6,0.0,GLYMA_08G021700
3385,2096,1289,0.6192023633677991,GLYMA_08G125800
61,58,3,0.9508196721311475,GLYMA_08G314900
3,0,3,0.0,GLYMA_09G013100
154,106,48,0.6883116883116883,GLYMA_09G099900
210,191,19,0.9095238095238095,GLYMA_09G127000
276,189,87,0.6847826086956522,GLYMA_09G150000
53,48,5,0.9056603773584906,GLYMA_09G160400
1628,1351,277,0.8298525798525799,GLYMA_09G216800
17,13,4,0.7647058823529411,GLYMA_10G028200
24,21,3,0.875,GLYMA_10G028300
1803,1358,445,0.7531891292290627,GLYMA_10G070200
140,130,10,0.9285714285714286,GLYMA_10G125000
153,135,18,0.8823529411764706,GLYMA_10G139200
75,71,4,0.9466666666666667,GLYMA_10G229400
35511,31795,3716,0.895356368449213,GLYMA_11G008000
158,99,59,0.6265822784810127,GLYMA_11G078300
200,144,56,0.72,GLYMA_11G221200
9,9,0,1.0,GLYMA_11G235600
134,130,4,0.9701492537313433,GLYMA_11G243100
2269,2107,162,0.9286029087703834,GLYMA_12G027400
70,66,4,0.9428571428571428,GLYMA_12G154300
5,0,5,0.0,GLYMA_13G046800
61,59,2,0.9672131147540983,GLYMA_13G091600
77,47,30,0.6103896103896104,GLYMA_13G261000
296,287,9,0.9695945945945946,GLYMA_13G334500
39,38,1,0.9743589743589743,GLYMA_14G204500
71,36,35,0.5070422535211268,GLYMA_14G218700
1504,876,628,0.5824468085106383,GLYMA_15G008500
108,101,7,0.9351851851851852,GLYMA_15G040000
11590,11166,424,0.9634167385677308,GLYMA_15G169100
256,250,6,0.9765625,GLYMA_15G179500
187,175,12,0.9358288770053476,GLYMA_15G210100
277,169,108,0.6101083032490975,GLYMA_15G245800
56,53,3,0.9464285714285714,GLYMA_15G274200
123,114,9,0.926829268292683,GLYMA_16G039800
534,131,403,0.24531835205992508,GLYMA_16G106800
737,680,57,0.9226594301221167,GLYMA_16G165900
108,108,0,1.0,GLYMA_17G068700
37,37,0,1.0,GLYMA_17G133100
67,61,6,0.9104477611940298,GLYMA_17G180400
349,336,13,0.9627507163323782,GLYMA_17G185600
1580,1565,15,0.990506329113924,GLYMA_17G185800
81,81,0,1.0,GLYMA_17G195900
180,165,15,0.9166666666666666,GLYMA_17G235000
86,74,12,0.8604651162790697,GLYMA_18G043200
87,84,3,0.9655172413793104,GLYMA_18G062100
146,122,24,0.8356164383561644,GLYMA_18G153100
321,318,3,0.9906542056074766,GLYMA_18G197400
473,418,55,0.8837209302325582,GLYMA_19G096100
54,47,7,0.8703703703703703,GLYMA_19G255500
88,75,13,0.8522727272727273,GLYMA_20G054000
148,109,39,0.7364864864864865,GLYMA_20G061300
13416,13102,314,0.9765951103160405,GLYMA_20G135300
91,91,0,1.0,GLYMA_20G151700
